,Fitness,Iteration,Temperature,Time,max_iters
0,8.0,0,2,7.454400110873394e-05,2048
1,9.0,1,2,0.00045265399967320263,2048
2,10.0,2,2,0.0005809009999211412,2048
3,8.0,3,2,0.003807564000453567,2048
4,8.0,4,2,0.003947331999370363,2048
5,8.0,5,2,0.00695197299864958,2048
6,8.0,6,2,0.007075729998177849,2048
7,9.0,7,2,0.007194866000645561,2048
8,9.0,8,2,0.00731302200074424,2048
9,9.0,9,2,0.010298492001311388,2048
10,9.0,10,2,0.010421738999866648,2048
11,9.0,11,2,0.01053899500038824,2048
12,12.0,12,2,0.010654652000084752,2048
13,8.0,13,2,0.010769177999463864,2048
14,10.0,14,2,0.010880983998504234,2048
15,10.0,15,2,0.010993970001436537,2048
16,10.0,16,2,0.011107176000223262,2048
17,8.0,17,2,0.014255624999350403,2048
18,8.0,18,2,0.01437605099999928,2048
19,7.0,19,2,0.014455364998866571,2048
20,7.0,20,2,0.014568771999620367,2048
21,6.0,21,2,0.01464768599907984,2048
22,6.0,22,2,0.014761652000743197,2048
23,6.0,23,2,0.014876058001391357,2048
24,6.0,24,2,0.01498976400034735,2048
25,8.0,25,2,0.01506614800018724,2048
26,9.0,26,2,0.015181263999693329,2048
27,8.0,27,2,0.015295690998755163,2048
28,7.0,28,2,0.015408707000460709,2048
29,8.0,29,2,0.015521722998528276,2048
30,8.0,30,2,0.01563628900112235,2048
31,7.0,31,2,0.01571275300011621,2048
32,7.0,32,2,0.015824098998564295,2048
33,6.0,33,2,0.01913234599851421,2048
34,6.0,34,2,0.01925445300003048,2048
35,6.0,35,2,0.01937457899839501,2048
36,6.0,36,2,0.019493116000376176,2048
37,8.0,37,2,0.019572509998397436,2048
38,8.0,38,2,0.01968937600031495,2048
39,8.0,39,2,0.019806341999355936,2048
40,7.0,40,2,0.019922699000744615,2048
41,8.0,41,2,0.02003664500080049,2048
42,6.0,42,2,0.020151491000433452,2048
43,6.0,43,2,0.02026473699879716,2048
44,7.0,44,2,0.020387913999002194,2048
45,7.0,45,2,0.02050447999863536,2048
46,7.0,46,2,0.020581423999828985,2048
47,7.0,47,2,0.020698680000350578,2048
48,6.0,48,2,0.020815036998101277,2048
49,5.0,49,2,0.02092896300018765,2048
50,5.0,50,2,0.021042099000624148,2048
51,7.0,51,2,0.02111807300025248,2048
52,7.0,52,2,0.021232649000012316,2048
53,8.0,53,2,0.02134792500146432,2048
54,8.0,54,2,0.021463001001393422,2048
55,8.0,55,2,0.02157754799918621,2048
56,8.0,56,2,0.0216920940001728,2048
57,7.0,57,2,0.021807580000313465,2048
58,7.0,58,2,0.021920726001553703,2048
59,7.0,59,2,0.02199811999889789,2048
60,7.0,60,2,0.02211313600128051,2048
61,7.0,61,2,0.022229591999348486,2048
62,5.0,62,2,0.022305497001070762,2048
63,5.0,63,2,0.022418083000957267,2048
64,6.0,64,2,0.022533709001436364,2048
65,6.0,65,2,0.026104349999513943,2048
66,4.0,66,2,0.02618828499907977,2048
67,4.0,67,2,0.02630195099845878,2048
68,3.0,68,2,0.02637930499986396,2048
69,3.0,69,2,0.026491641001484822,2048
70,3.0,70,2,0.02660715700039873,2048
71,4.0,71,2,0.026721082998847123,2048
72,4.0,72,2,0.02683492000141996,2048
73,2.0,73,2,0.02691171400147141,2048
74,2.0,74,2,0.027024520000850316,2048
75,3.0,75,2,0.02713884599870653,2048
76,3.0,76,2,0.02725190199998906,2048
77,3.0,77,2,0.027326565999828745,2048
78,3.0,78,2,0.027402709998568753,2048
79,5.0,79,2,0.02747759400153882,2048
80,3.0,80,2,0.027590929999860236,2048
81,3.0,81,2,0.027702536001015687,2048
82,3.0,82,2,0.027777759998571128,2048
83,3.0,83,2,0.027853603998664767,2048
84,2.0,84,2,0.027965889999904903,2048
85,2.0,85,2,0.028079676001652842,2048
86,3.0,86,2,0.02815612999984296,2048
87,3.0,87,2,0.02827030700063915,2048
88,3.0,88,2,0.028360401000099955,2048
89,5.0,89,2,0.02844025599915767,2048
90,5.0,90,2,0.028553881998959696,2048
91,5.0,91,2,0.028629915999772493,2048
92,5.0,92,2,0.028704439999273745,2048
93,5.0,93,2,0.02877908400114393,2048
94,6.0,94,2,0.02885370800140663,2048
95,6.0,95,2,0.02896549399883952,2048
96,6.0,96,2,0.029040167999482946,2048
97,6.0,97,2,0.029115612000168767,2048
98,6.0,98,2,0.0291911659987818,2048
99,6.0,99,2,0.029303862000233494,2048
100,6.0,100,2,0.029418938000162598,2048
101,6.0,101,2,0.029530894000345143,2048
102,6.0,102,2,0.02960672799963504,2048
103,6.0,103,2,0.029720353999437066,2048
104,5.0,104,2,0.02979625800071517,2048
105,5.0,105,2,0.02990764399874024,2048
106,5.0,106,2,0.030021250000572763,2048
107,6.0,107,2,0.030099165000137873,2048
108,6.0,108,2,0.030213891001039883,2048
109,7.0,109,2,0.030328327000461286,2048
110,6.0,110,2,0.03044195300026331,2048
111,6.0,111,2,0.030554419001418864,2048
112,6.0,112,2,0.03062970300015877,2048
113,6.0,113,2,0.030744038998818723,2048
114,5.0,114,2,0.03085883499807096,2048
115,5.0,115,2,0.030984032000560546,2048
116,5.0,116,2,0.031069436998222955,2048
117,5.0,117,2,0.03115493099903688,2048
118,5.0,118,2,0.03127541800131439,2048
119,4.0,119,2,0.031343291000666795,2048
120,5.0,120,2,0.031442776999028865,2048
121,5.0,121,2,0.031554692999634426,2048
122,5.0,122,2,0.0316681990007055,2048
123,5.0,123,2,0.031744633000926115,2048
124,5.0,124,2,0.03182105700034299,2048
125,4.0,125,2,0.03193444299904513,2048
