,Fitness,Iteration,Restarts,Time,current_restart,max_iters
0,7.0,0,10,8.254400017904118e-05,0,2048
1,6.0,1,10,0.0003605700003390666,0,2048
2,6.0,2,10,0.00047917600022628903,0,2048
3,6.0,3,10,0.0033889559999806806,0,2048
4,6.0,4,10,0.003462310000031721,0,2048
5,6.0,5,10,0.006192711000039708,0,2048
6,6.0,6,10,0.006265385000006063,0,2048
7,6.0,7,10,0.006331907999992836,0,2048
8,4.0,8,10,0.006397411998477764,0,2048
9,4.0,9,10,0.009204255999065936,0,2048
10,4.0,10,10,0.009277569999539992,0,2048
11,2.0,11,10,0.009343744000943843,0,2048
12,2.0,12,10,0.009447050000744639,0,2048
13,2.0,13,10,0.00951186299789697,0,2048
14,2.0,14,10,0.009575927000696538,0,2048
15,2.0,15,10,0.009639579999202397,0,2048
16,2.0,16,10,0.009703563999210019,0,2048
17,2.0,17,10,0.012528920000477228,0,2048
18,2.0,18,10,0.012603073999343906,0,2048
19,2.0,19,10,0.01267033700059983,0,2048
20,2.0,20,10,0.012737550998281222,0,2048
21,2.0,21,10,0.012802825000107987,0,2048
22,2.0,22,10,0.012868488000094658,0,2048
23,2.0,23,10,0.012933841997437412,0,2048
24,2.0,24,10,0.012999005000892794,0,2048
25,2.0,25,10,0.013064548998954706,0,2048
26,2.0,26,10,0.013130712999554817,0,2048
27,2.0,27,10,0.013195595998695353,0,2048
28,2.0,28,10,0.013261029998830054,0,2048
29,2.0,29,10,0.013329703997442266,0,2048
30,2.0,30,10,0.013394796998909442,0,2048
31,2.0,31,10,0.013460860998748103,0,2048
32,2.0,32,10,0.013525353999284562,0,2048
33,2.0,33,10,0.016553110999666387,0,2048
34,2.0,34,10,0.01664210599847138,0,2048
35,2.0,35,10,0.016727611000533216,0,2048
36,2.0,36,10,0.01679777499884949,0,2048
37,2.0,37,10,0.016864217999682296,0,2048
38,2.0,38,10,0.016930121997575043,0,2048
39,2.0,39,10,0.016996095000649802,0,2048
40,2.0,40,10,0.01706232899960014,0,2048
41,2.0,41,10,0.01712858300015796,0,2048
42,2.0,42,10,0.017195525997522054,0,2048
43,2.0,43,10,0.01726174999930663,0,2048
44,2.0,44,10,0.017328573998383945,0,2048
45,2.0,45,10,0.017395696999301435,0,2048
46,2.0,46,10,0.017462710999097908,0,2048
47,2.0,47,10,0.017529534998175222,0,2048
48,2.0,48,10,0.01759610799854272,0,2048
49,2.0,49,10,0.0176625719977892,0,2048
50,2.0,50,10,0.01772967599754338,0,2048
51,2.0,51,10,0.017796529999031918,0,2048
52,2.0,52,10,0.017863793000287842,0,2048
53,2.0,53,10,0.017930166999576613,0,2048
54,2.0,54,10,0.01799744099844247,0,2048
55,2.0,55,10,0.018064494001009734,0,2048
56,2.0,56,10,0.018132427998352796,0,2048
57,2.0,57,10,0.018199081998318434,0,2048
58,2.0,58,10,0.018266315000801114,0,2048
59,2.0,59,10,0.0183344990000478,0,2048
60,2.0,60,10,0.01840159299899824,0,2048
61,2.0,61,10,0.018468666999979177,0,2048
62,1.0,62,10,0.018535549999796785,0,2048
63,1.0,63,10,0.018642666000232566,0,2048
64,1.0,64,10,0.018710069998633116,0,2048
65,1.0,65,10,0.021996911000314867,0,2048
66,1.0,66,10,0.022072184998251032,0,2048
67,1.0,67,10,0.02214164899851312,0,2048
68,1.0,68,10,0.022209662998648128,0,2048
69,1.0,69,10,0.022276865998719586,0,2048
70,1.0,70,10,0.022344450000673532,0,2048
71,1.0,71,10,0.022411263998947106,0,2048
72,1.0,72,10,0.022479937000753125,0,2048
73,1.0,73,10,0.022549240999069298,0,2048
74,1.0,74,10,0.022617014998104423,0,2048
75,1.0,75,10,0.022683289000269724,0,2048
76,1.0,76,10,0.02275034199919901,0,2048
77,1.0,77,10,0.022817185999883804,0,2048
78,1.0,78,10,0.022884480000357144,0,2048
79,1.0,79,10,0.02295187299750978,0,2048
80,1.0,80,10,0.02301949699904071,0,2048
81,1.0,81,10,0.023087150999344885,0,2048
82,1.0,82,10,0.023154844999226043,0,2048
83,1.0,83,10,0.02322214800005895,0,2048
84,1.0,84,10,0.023288781998417107,0,2048
85,1.0,85,10,0.02337495699975989,0,2048
86,1.0,86,10,0.023446911000064574,0,2048
87,1.0,87,10,0.02351420400009374,0,2048
88,1.0,88,10,0.023581847999594174,0,2048
89,1.0,89,10,0.023651272000279278,0,2048
90,1.0,90,10,0.023719876000541262,0,2048
91,1.0,91,10,0.023787748999893665,0,2048
92,1.0,92,10,0.023855782997998176,0,2048
93,1.0,93,10,0.02392342699749861,0,2048
94,1.0,94,10,0.023991450998437358,0,2048
95,1.0,95,10,0.024062574997515185,0,2048
96,1.0,96,10,0.024130507998052053,0,2048
97,1.0,97,10,0.024199092000344535,0,2048
98,1.0,98,10,0.024267146000056528,0,2048
99,1.0,99,10,0.024335250000149244,0,2048
100,1.0,100,10,0.02440368300085538,0,2048
101,1.0,101,10,0.024471867000102066,0,2048
102,1.0,102,10,0.024539900998206576,0,2048
103,1.0,103,10,0.024611854998511262,0,2048
104,1.0,104,10,0.0246876790006354,0,2048
105,1.0,105,10,0.02476429300077143,0,2048
106,1.0,106,10,0.02484053700027289,0,2048
107,1.0,107,10,0.024916941998526454,0,2048
108,1.0,108,10,0.024978754998301156,0,2048
109,1.0,109,10,0.02504070799841429,0,2048
110,1.0,110,10,0.025102221999986796,0,2048
111,1.0,111,10,0.025164405000396073,0,2048
112,1.0,112,10,0.025226008998288307,0,2048
