,Fitness,Iteration,Keep Percent,Population Size,Time,max_iters,use_fast_mimic
0,2381.756695880048,0,0.01,50,0.0032316839970008004,2048,False
1,2381.756695880048,1,0.01,50,0.19055295699945418,2048,False
2,2381.756695880048,2,0.01,50,0.3783517699994263,2048,False
3,2381.756695880048,3,0.01,50,0.5723034939983336,2048,False
4,2381.756695880048,4,0.01,50,0.7594909750005172,2048,False
5,2381.756695880048,5,0.01,50,0.9534508889992139,2048,False
6,2381.756695880048,6,0.01,50,1.1431683899972995,2048,False
7,2381.756695880048,7,0.01,50,1.3310100819981017,2048,False
8,2381.756695880048,8,0.01,50,1.518172247997427,2048,False
9,2381.756695880048,9,0.01,50,1.713166456000181,2048,False
10,2381.756695880048,10,0.01,50,1.9007816889970854,2048,False
11,2381.756695880048,11,0.01,50,2.088321745999565,2048,False
12,2381.756695880048,12,0.01,50,2.27693465899938,2048,False
13,2381.756695880048,13,0.01,50,2.4641150520001247,2048,False
14,2381.756695880048,14,0.01,50,2.651013659997261,2048,False
15,2381.756695880048,15,0.01,50,2.8398538429973996,2048,False
16,2381.756695880048,16,0.01,50,3.0274615959970106,2048,False
17,2381.756695880048,17,0.01,50,3.2215370159974555,2048,False
18,2381.756695880048,18,0.01,50,3.4103989869981888,2048,False
19,2381.756695880048,19,0.01,50,3.5962082289988757,2048,False
20,2381.756695880048,20,0.01,50,3.7816712530002405,2048,False
21,2381.756695880048,21,0.01,50,3.968156689999887,2048,False
22,2381.756695880048,22,0.01,50,4.155847027999698,2048,False
23,2381.756695880048,23,0.01,50,4.34275414899821,2048,False
24,2381.756695880048,24,0.01,50,4.529117763999238,2048,False
25,2381.756695880048,25,0.01,50,4.716968114997144,2048,False
26,2381.756695880048,26,0.01,50,4.904789972999424,2048,False
27,2381.756695880048,27,0.01,50,5.09524352399967,2048,False
28,2381.756695880048,28,0.01,50,5.283492684000521,2048,False
29,2381.756695880048,29,0.01,50,5.471870534998743,2048,False
30,2381.756695880048,30,0.01,50,5.658654661998298,2048,False
31,2381.756695880048,31,0.01,50,5.846700434998638,2048,False
32,2381.756695880048,32,0.01,50,6.033113282999693,2048,False
33,2381.756695880048,33,0.01,50,6.229204040999321,2048,False
34,2381.756695880048,34,0.01,50,6.418033845999162,2048,False
35,2381.756695880048,35,0.01,50,6.6045577059994685,2048,False
36,2381.756695880048,36,0.01,50,6.790945445998659,2048,False
37,2381.756695880048,37,0.01,50,6.979739275997417,2048,False
38,2381.756695880048,38,0.01,50,7.167571582998789,2048,False
39,2381.756695880048,39,0.01,50,7.3560733960002835,2048,False
40,2381.756695880048,40,0.01,50,7.543051541997556,2048,False
41,2381.756695880048,41,0.01,50,7.730950043998746,2048,False
42,2381.756695880048,42,0.01,50,7.918424221999885,2048,False
43,2381.756695880048,43,0.01,50,8.106264917998487,2048,False
44,2381.756695880048,44,0.01,50,8.296005330998014,2048,False
45,2381.756695880048,45,0.01,50,8.483922621999227,2048,False
46,2381.756695880048,46,0.01,50,8.67131748799875,2048,False
47,2381.756695880048,47,0.01,50,8.86004318599953,2048,False
48,2381.756695880048,48,0.01,50,9.047103345998039,2048,False
49,2381.756695880048,49,0.01,50,9.236797792000289,2048,False
50,2381.756695880048,50,0.01,50,9.425007783000183,2048,False
51,2381.756695880048,51,0.01,50,9.613910501997452,2048,False
52,2381.756695880048,52,0.01,50,9.800312270999711,2048,False
53,2381.756695880048,53,0.01,50,9.988182970999333,2048,False
54,2381.756695880048,54,0.01,50,10.176305359997059,2048,False
55,2381.756695880048,55,0.01,50,10.363979401998222,2048,False
56,2381.756695880048,56,0.01,50,10.551193985000282,2048,False
57,2381.756695880048,57,0.01,50,10.738182559998677,2048,False
58,2381.756695880048,58,0.01,50,10.927380029999767,2048,False
59,2381.756695880048,59,0.01,50,11.116443505998177,2048,False
60,2381.756695880048,60,0.01,50,11.307773509997787,2048,False
61,2381.756695880048,61,0.01,50,11.495126000998425,2048,False
62,2381.756695880048,62,0.01,50,11.681653592997463,2048,False
63,2381.756695880048,63,0.01,50,11.869185619998461,2048,False
64,2381.756695880048,64,0.01,50,12.056791662998876,2048,False
65,2381.756695880048,65,0.01,50,12.252585006997833,2048,False
66,2381.756695880048,66,0.01,50,12.439772730998811,2048,False
67,2381.756695880048,67,0.01,50,12.626722344997688,2048,False
68,2381.756695880048,68,0.01,50,12.815030652000132,2048,False
69,2381.756695880048,69,0.01,50,13.002417307998257,2048,False
70,2381.756695880048,70,0.01,50,13.18997288799801,2048,False
71,2381.756695880048,71,0.01,50,13.37862020999819,2048,False
72,2381.756695880048,72,0.01,50,13.566003335999994,2048,False
73,2381.756695880048,73,0.01,50,13.753629501999967,2048,False
74,2381.756695880048,74,0.01,50,13.942321687998628,2048,False
