,Fitness,Iteration,Keep Percent,Population Size,State,Time,max_iters,use_fast_mimic
0,3122.834047054343,0,0.01,50,"[19, 16, 3, 13, 18, 15, 10, 4, 2, 17, 6, 7, 1, 14, 0, 21, 20, 9, 8, 12, 11, 5]",0.0032316839970008004,2048,False
1,2381.756695880048,2,0.01,50,"[2, 6, 14, 17, 3, 19, 12, 11, 15, 9, 8, 7, 0, 21, 4, 18, 1, 13, 5, 16, 20, 10]",0.3783517699994263,2048,False
2,2381.756695880048,4,0.01,50,"[2, 6, 14, 17, 3, 19, 12, 11, 15, 9, 8, 7, 0, 21, 4, 18, 1, 13, 5, 16, 20, 10]",0.7594909750005172,2048,False
3,2381.756695880048,8,0.01,50,"[2, 6, 14, 17, 3, 19, 12, 11, 15, 9, 8, 7, 0, 21, 4, 18, 1, 13, 5, 16, 20, 10]",1.518172247997427,2048,False
4,2381.756695880048,16,0.01,50,"[2, 6, 14, 17, 3, 19, 12, 11, 15, 9, 8, 7, 0, 21, 4, 18, 1, 13, 5, 16, 20, 10]",3.0274615959970106,2048,False
5,2381.756695880048,32,0.01,50,"[2, 6, 14, 17, 3, 19, 12, 11, 15, 9, 8, 7, 0, 21, 4, 18, 1, 13, 5, 16, 20, 10]",6.033113282999693,2048,False
6,2381.756695880048,64,0.01,50,"[2, 6, 14, 17, 3, 19, 12, 11, 15, 9, 8, 7, 0, 21, 4, 18, 1, 13, 5, 16, 20, 10]",12.056791662998876,2048,False
7,2381.756695880048,128,0.01,50,"[2, 6, 14, 17, 3, 19, 12, 11, 15, 9, 8, 7, 0, 21, 4, 18, 1, 13, 5, 16, 20, 10]",24.137368716998026,2048,False
8,2381.756695880048,256,0.01,50,"[2, 6, 14, 17, 3, 19, 12, 11, 15, 9, 8, 7, 0, 21, 4, 18, 1, 13, 5, 16, 20, 10]",48.14449011399847,2048,False
9,2381.756695880048,512,0.01,50,"[2, 6, 14, 17, 3, 19, 12, 11, 15, 9, 8, 7, 0, 21, 4, 18, 1, 13, 5, 16, 20, 10]",94.03387959199972,2048,False
10,2381.756695880048,1024,0.01,50,"[2, 6, 14, 17, 3, 19, 12, 11, 15, 9, 8, 7, 0, 21, 4, 18, 1, 13, 5, 16, 20, 10]",94.03387959199972,2048,False
11,2381.756695880048,2048,0.01,50,"[2, 6, 14, 17, 3, 19, 12, 11, 15, 9, 8, 7, 0, 21, 4, 18, 1, 13, 5, 16, 20, 10]",94.03387959199972,2048,False
12,3122.834047054343,0,0.02,50,"[19, 16, 3, 13, 18, 15, 10, 4, 2, 17, 6, 7, 1, 14, 0, 21, 20, 9, 8, 12, 11, 5]",0.0034929329995065928,2048,False
13,2381.756695880048,2,0.02,50,"[2, 6, 14, 17, 3, 19, 12, 11, 15, 9, 8, 7, 0, 21, 4, 18, 1, 13, 5, 16, 20, 10]",0.37580406199776917,2048,False
14,2381.756695880048,4,0.02,50,"[2, 6, 14, 17, 3, 19, 12, 11, 15, 9, 8, 7, 0, 21, 4, 18, 1, 13, 5, 16, 20, 10]",0.7702506909990916,2048,False
15,2381.756695880048,8,0.02,50,"[2, 6, 14, 17, 3, 19, 12, 11, 15, 9, 8, 7, 0, 21, 4, 18, 1, 13, 5, 16, 20, 10]",1.53534837999905,2048,False
16,2381.756695880048,16,0.02,50,"[2, 6, 14, 17, 3, 19, 12, 11, 15, 9, 8, 7, 0, 21, 4, 18, 1, 13, 5, 16, 20, 10]",3.051042837996647,2048,False
17,2381.756695880048,32,0.02,50,"[2, 6, 14, 17, 3, 19, 12, 11, 15, 9, 8, 7, 0, 21, 4, 18, 1, 13, 5, 16, 20, 10]",6.071971038996708,2048,False
18,2381.756695880048,64,0.02,50,"[2, 6, 14, 17, 3, 19, 12, 11, 15, 9, 8, 7, 0, 21, 4, 18, 1, 13, 5, 16, 20, 10]",12.125625472999673,2048,False
19,2381.756695880048,128,0.02,50,"[2, 6, 14, 17, 3, 19, 12, 11, 15, 9, 8, 7, 0, 21, 4, 18, 1, 13, 5, 16, 20, 10]",24.247229890999733,2048,False
20,2381.756695880048,256,0.02,50,"[2, 6, 14, 17, 3, 19, 12, 11, 15, 9, 8, 7, 0, 21, 4, 18, 1, 13, 5, 16, 20, 10]",48.300655134997214,2048,False
21,2381.756695880048,512,0.02,50,"[2, 6, 14, 17, 3, 19, 12, 11, 15, 9, 8, 7, 0, 21, 4, 18, 1, 13, 5, 16, 20, 10]",94.39779156199802,2048,False
22,2381.756695880048,1024,0.02,50,"[2, 6, 14, 17, 3, 19, 12, 11, 15, 9, 8, 7, 0, 21, 4, 18, 1, 13, 5, 16, 20, 10]",94.39779156199802,2048,False
23,2381.756695880048,2048,0.02,50,"[2, 6, 14, 17, 3, 19, 12, 11, 15, 9, 8, 7, 0, 21, 4, 18, 1, 13, 5, 16, 20, 10]",94.39779156199802,2048,False
24,3122.834047054343,0,0.04,50,"[19, 16, 3, 13, 18, 15, 10, 4, 2, 17, 6, 7, 1, 14, 0, 21, 20, 9, 8, 12, 11, 5]",0.0034278989987797104,2048,False
25,2381.756695880048,2,0.04,50,"[2, 6, 14, 17, 3, 19, 12, 11, 15, 9, 8, 7, 0, 21, 4, 18, 1, 13, 5, 16, 20, 10]",0.3785482800012687,2048,False
26,2381.756695880048,4,0.04,50,"[2, 6, 14, 17, 3, 19, 12, 11, 15, 9, 8, 7, 0, 21, 4, 18, 1, 13, 5, 16, 20, 10]",0.7744542280015594,2048,False
27,2381.756695880048,8,0.04,50,"[2, 6, 14, 17, 3, 19, 12, 11, 15, 9, 8, 7, 0, 21, 4, 18, 1, 13, 5, 16, 20, 10]",1.5440784259990323,2048,False
28,2381.756695880048,16,0.04,50,"[2, 6, 14, 17, 3, 19, 12, 11, 15, 9, 8, 7, 0, 21, 4, 18, 1, 13, 5, 16, 20, 10]",3.0828225309996924,2048,False
29,2381.756695880048,32,0.04,50,"[2, 6, 14, 17, 3, 19, 12, 11, 15, 9, 8, 7, 0, 21, 4, 18, 1, 13, 5, 16, 20, 10]",6.144392328002141,2048,False
30,2381.756695880048,64,0.04,50,"[2, 6, 14, 17, 3, 19, 12, 11, 15, 9, 8, 7, 0, 21, 4, 18, 1, 13, 5, 16, 20, 10]",12.19789859500088,2048,False
31,2381.756695880048,128,0.04,50,"[2, 6, 14, 17, 3, 19, 12, 11, 15, 9, 8, 7, 0, 21, 4, 18, 1, 13, 5, 16, 20, 10]",24.28379263500028,2048,False
32,2381.756695880048,256,0.04,50,"[2, 6, 14, 17, 3, 19, 12, 11, 15, 9, 8, 7, 0, 21, 4, 18, 1, 13, 5, 16, 20, 10]",48.42665112300165,2048,False
33,2381.756695880048,512,0.04,50,"[2, 6, 14, 17, 3, 19, 12, 11, 15, 9, 8, 7, 0, 21, 4, 18, 1, 13, 5, 16, 20, 10]",94.58859837400087,2048,False
34,2381.756695880048,1024,0.04,50,"[2, 6, 14, 17, 3, 19, 12, 11, 15, 9, 8, 7, 0, 21, 4, 18, 1, 13, 5, 16, 20, 10]",94.58859837400087,2048,False
35,2381.756695880048,2048,0.04,50,"[2, 6, 14, 17, 3, 19, 12, 11, 15, 9, 8, 7, 0, 21, 4, 18, 1, 13, 5, 16, 20, 10]",94.58859837400087,2048,False
36,3122.834047054343,0,0.08,50,"[19, 16, 3, 13, 18, 15, 10, 4, 2, 17, 6, 7, 1, 14, 0, 21, 20, 9, 8, 12, 11, 5]",0.0033568889994057827,2048,False
37,2381.756695880048,2,0.08,50,"[2, 6, 14, 17, 3, 19, 12, 11, 15, 9, 8, 7, 0, 21, 4, 18, 1, 13, 5, 16, 20, 10]",0.38214428599894745,2048,False
38,2381.756695880048,4,0.08,50,"[2, 6, 14, 17, 3, 19, 12, 11, 15, 9, 8, 7, 0, 21, 4, 18, 1, 13, 5, 16, 20, 10]",0.7792592229998263,2048,False
39,2381.756695880048,8,0.08,50,"[2, 6, 14, 17, 3, 19, 12, 11, 15, 9, 8, 7, 0, 21, 4, 18, 1, 13, 5, 16, 20, 10]",1.555162836000818,2048,False
40,2381.756695880048,16,0.08,50,"[2, 6, 14, 17, 3, 19, 12, 11, 15, 9, 8, 7, 0, 21, 4, 18, 1, 13, 5, 16, 20, 10]",3.0899281239981065,2048,False
41,2381.756695880048,32,0.08,50,"[2, 6, 14, 17, 3, 19, 12, 11, 15, 9, 8, 7, 0, 21, 4, 18, 1, 13, 5, 16, 20, 10]",6.134728306999023,2048,False
42,2381.756695880048,64,0.08,50,"[2, 6, 14, 17, 3, 19, 12, 11, 15, 9, 8, 7, 0, 21, 4, 18, 1, 13, 5, 16, 20, 10]",12.200189887000306,2048,False
43,2381.756695880048,128,0.08,50,"[2, 6, 14, 17, 3, 19, 12, 11, 15, 9, 8, 7, 0, 21, 4, 18, 1, 13, 5, 16, 20, 10]",24.274196225000196,2048,False
44,2381.756695880048,256,0.08,50,"[2, 6, 14, 17, 3, 19, 12, 11, 15, 9, 8, 7, 0, 21, 4, 18, 1, 13, 5, 16, 20, 10]",48.40620352100086,2048,False
45,2381.756695880048,512,0.08,50,"[2, 6, 14, 17, 3, 19, 12, 11, 15, 9, 8, 7, 0, 21, 4, 18, 1, 13, 5, 16, 20, 10]",94.51996697700088,2048,False
46,2381.756695880048,1024,0.08,50,"[2, 6, 14, 17, 3, 19, 12, 11, 15, 9, 8, 7, 0, 21, 4, 18, 1, 13, 5, 16, 20, 10]",94.51996697700088,2048,False
47,2381.756695880048,2048,0.08,50,"[2, 6, 14, 17, 3, 19, 12, 11, 15, 9, 8, 7, 0, 21, 4, 18, 1, 13, 5, 16, 20, 10]",94.51996697700088,2048,False
48,3122.834047054343,0,0.16,50,"[19, 16, 3, 13, 18, 15, 10, 4, 2, 17, 6, 7, 1, 14, 0, 21, 20, 9, 8, 12, 11, 5]",0.0032649700006004423,2048,False
49,2381.756695880048,2,0.16,50,"[2, 6, 14, 17, 3, 19, 12, 11, 15, 9, 8, 7, 0, 21, 4, 18, 1, 13, 5, 16, 20, 10]",0.3915034800011199,2048,False
50,2381.756695880048,4,0.16,50,"[2, 6, 14, 17, 3, 19, 12, 11, 15, 9, 8, 7, 0, 21, 4, 18, 1, 13, 5, 16, 20, 10]",0.7938236549998692,2048,False
51,2381.756695880048,8,0.16,50,"[2, 6, 14, 17, 3, 19, 12, 11, 15, 9, 8, 7, 0, 21, 4, 18, 1, 13, 5, 16, 20, 10]",1.5717721250002796,2048,False
52,2381.756695880048,16,0.16,50,"[2, 6, 14, 17, 3, 19, 12, 11, 15, 9, 8, 7, 0, 21, 4, 18, 1, 13, 5, 16, 20, 10]",3.103978821000055,2048,False
53,2381.756695880048,32,0.16,50,"[2, 6, 14, 17, 3, 19, 12, 11, 15, 9, 8, 7, 0, 21, 4, 18, 1, 13, 5, 16, 20, 10]",6.139595551001548,2048,False
54,2381.756695880048,64,0.16,50,"[2, 6, 14, 17, 3, 19, 12, 11, 15, 9, 8, 7, 0, 21, 4, 18, 1, 13, 5, 16, 20, 10]",12.183373547002702,2048,False
55,2381.756695880048,128,0.16,50,"[2, 6, 14, 17, 3, 19, 12, 11, 15, 9, 8, 7, 0, 21, 4, 18, 1, 13, 5, 16, 20, 10]",24.260609791002935,2048,False
56,2381.756695880048,256,0.16,50,"[2, 6, 14, 17, 3, 19, 12, 11, 15, 9, 8, 7, 0, 21, 4, 18, 1, 13, 5, 16, 20, 10]",48.38863015800234,2048,False
57,2381.756695880048,512,0.16,50,"[2, 6, 14, 17, 3, 19, 12, 11, 15, 9, 8, 7, 0, 21, 4, 18, 1, 13, 5, 16, 20, 10]",94.51519181299955,2048,False
58,2381.756695880048,1024,0.16,50,"[2, 6, 14, 17, 3, 19, 12, 11, 15, 9, 8, 7, 0, 21, 4, 18, 1, 13, 5, 16, 20, 10]",94.51519181299955,2048,False
59,2381.756695880048,2048,0.16,50,"[2, 6, 14, 17, 3, 19, 12, 11, 15, 9, 8, 7, 0, 21, 4, 18, 1, 13, 5, 16, 20, 10]",94.51519181299955,2048,False
60,3122.834047054343,0,0.32,50,"[19, 16, 3, 13, 18, 15, 10, 4, 2, 17, 6, 7, 1, 14, 0, 21, 20, 9, 8, 12, 11, 5]",0.0034879539998655673,2048,False
61,2273.768123135326,2,0.32,50,"[8, 3, 5, 6, 14, 2, 7, 1, 11, 16, 19, 15, 0, 4, 21, 18, 17, 12, 13, 20, 9, 10]",0.4012058980006259,2048,False
62,2273.768123135326,4,0.32,50,"[8, 3, 5, 6, 14, 2, 7, 1, 11, 16, 19, 15, 0, 4, 21, 18, 17, 12, 13, 20, 9, 10]",0.8201235310007178,2048,False
63,2273.768123135326,8,0.32,50,"[8, 3, 5, 6, 14, 2, 7, 1, 11, 16, 19, 15, 0, 4, 21, 18, 17, 12, 13, 20, 9, 10]",1.6179431499986094,2048,False
64,2273.768123135326,16,0.32,50,"[8, 3, 5, 6, 14, 2, 7, 1, 11, 16, 19, 15, 0, 4, 21, 18, 17, 12, 13, 20, 9, 10]",3.177886498000589,2048,False
65,2273.768123135326,32,0.32,50,"[8, 3, 5, 6, 14, 2, 7, 1, 11, 16, 19, 15, 0, 4, 21, 18, 17, 12, 13, 20, 9, 10]",6.2294038939980965,2048,False
66,2273.768123135326,64,0.32,50,"[8, 3, 5, 6, 14, 2, 7, 1, 11, 16, 19, 15, 0, 4, 21, 18, 17, 12, 13, 20, 9, 10]",12.28169574200001,2048,False
67,2273.768123135326,128,0.32,50,"[8, 3, 5, 6, 14, 2, 7, 1, 11, 16, 19, 15, 0, 4, 21, 18, 17, 12, 13, 20, 9, 10]",24.372463793999486,2048,False
68,2273.768123135326,256,0.32,50,"[8, 3, 5, 6, 14, 2, 7, 1, 11, 16, 19, 15, 0, 4, 21, 18, 17, 12, 13, 20, 9, 10]",48.4271293769998,2048,False
69,2273.768123135326,512,0.32,50,"[8, 3, 5, 6, 14, 2, 7, 1, 11, 16, 19, 15, 0, 4, 21, 18, 17, 12, 13, 20, 9, 10]",94.4834126129972,2048,False
70,2273.768123135326,1024,0.32,50,"[8, 3, 5, 6, 14, 2, 7, 1, 11, 16, 19, 15, 0, 4, 21, 18, 17, 12, 13, 20, 9, 10]",94.4834126129972,2048,False
71,2273.768123135326,2048,0.32,50,"[8, 3, 5, 6, 14, 2, 7, 1, 11, 16, 19, 15, 0, 4, 21, 18, 17, 12, 13, 20, 9, 10]",94.4834126129972,2048,False
72,3122.834047054343,0,0.01,100,"[19, 16, 3, 13, 18, 15, 10, 4, 2, 17, 6, 7, 1, 14, 0, 21, 20, 9, 8, 12, 11, 5]",0.006730535998940468,2048,False
73,2258.1380823464606,2,0.01,100,"[4, 15, 0, 9, 6, 7, 1, 10, 8, 16, 14, 12, 3, 5, 19, 21, 17, 2, 20, 11, 13, 18]",0.4842561979967286,2048,False
74,2258.1380823464606,4,0.01,100,"[4, 15, 0, 9, 6, 7, 1, 10, 8, 16, 14, 12, 3, 5, 19, 21, 17, 2, 20, 11, 13, 18]",0.9991292179984157,2048,False
75,2258.1380823464606,8,0.01,100,"[4, 15, 0, 9, 6, 7, 1, 10, 8, 16, 14, 12, 3, 5, 19, 21, 17, 2, 20, 11, 13, 18]",1.9909654629991564,2048,False
