,Fitness,Iteration,Temperature,Time,max_iters
0,11.0,0,2,0.00010250099876429886,2048
1,11.0,1,2,0.0004866150011366699,2048
2,11.0,2,2,0.0006504970006062649,2048
3,11.0,3,2,0.004639038001187146,2048
4,11.0,4,2,0.004802229999768315,2048
5,12.0,5,2,0.00782425199940917,2048
6,12.0,6,2,0.007983903000422288,2048
7,14.0,7,2,0.008080333998805145,2048
8,14.0,8,2,0.008233336000557756,2048
9,14.0,9,2,0.011250727999140508,2048
10,12.0,10,2,0.011414519001846202,2048
11,12.0,11,2,0.011571101000299677,2048
12,12.0,12,2,0.011727253000572091,2048
13,12.0,13,2,0.011822423999547027,2048
14,10.0,14,2,0.011976764999417355,2048
15,10.0,15,2,0.012130677001550794,2048
16,10.0,16,2,0.01222418800170999,2048
17,10.0,17,2,0.015381231001811102,2048
18,10.0,18,2,0.015544473000772996,2048
19,10.0,19,2,0.015641734000382712,2048
20,8.0,20,2,0.015797805001056986,2048
21,10.0,21,2,0.015952957000990864,2048
22,8.0,22,2,0.01610476900168578,2048
23,10.0,23,2,0.01625793999846792,2048
24,8.0,24,2,0.01640949200009345,2048
25,10.0,25,2,0.016562983000767417,2048
26,10.0,26,2,0.016715735000616405,2048
27,10.0,27,2,0.01686948700080393,2048
28,10.0,28,2,0.017041817998688202,2048
29,10.0,29,2,0.017211739999765996,2048
30,10.0,30,2,0.0173696519996156,2048
31,9.0,31,2,0.017525342998851556,2048
32,9.0,32,2,0.017679994998616166,2048
33,9.0,33,2,0.02105804999882821,2048
34,11.0,34,2,0.02122158199927071,2048
35,11.0,35,2,0.02139708400136442,2048
36,11.0,36,2,0.021555766001256416,2048
37,11.0,37,2,0.02171151700167684,2048
38,11.0,38,2,0.02180705800128635,2048
39,11.0,39,2,0.02190228900144575,2048
40,13.0,40,2,0.021997510000801412,2048
41,13.0,41,2,0.02215059200170799,2048
42,13.0,42,2,0.02230543399855378,2048
43,13.0,43,2,0.022399894001864595,2048
44,13.0,44,2,0.022553626000444638,2048
45,13.0,45,2,0.022707118001562776,2048
46,13.0,46,2,0.022861478999402607,2048
47,13.0,47,2,0.023016850998828886,2048
48,13.0,48,2,0.023111351998522878,2048
49,14.0,49,2,0.02326698400065652,2048
50,14.0,50,2,0.023419084998749895,2048
51,14.0,51,2,0.023574386999825947,2048
52,15.0,52,2,0.02372907799872337,2048
53,15.0,53,2,0.023881190001702635,2048
54,15.0,54,2,0.024038242001552135,2048
55,15.0,55,2,0.02419589300188818,2048
56,15.0,56,2,0.02429254399976344,2048
57,15.0,57,2,0.024449246000585845,2048
58,15.0,58,2,0.024606187998870155,2048
59,15.0,59,2,0.024763819001236698,2048
60,15.0,60,2,0.02486082000177703,2048
61,15.0,61,2,0.024963810999906855,2048
62,13.0,62,2,0.025139552999462467,2048
63,12.0,63,2,0.025315694998425897,2048
64,12.0,64,2,0.02547538699946017,2048
65,12.0,65,2,0.02912728500086814,2048
66,12.0,66,2,0.02923197600102867,2048
67,12.0,67,2,0.02935618699848419,2048
68,12.0,68,2,0.029517678998672636,2048
69,14.0,69,2,0.029677651000383776,2048
70,12.0,70,2,0.02983518199835089,2048
71,14.0,71,2,0.029994174001330975,2048
72,14.0,72,2,0.0301510760000383,2048
73,14.0,73,2,0.030250387000705814,2048
74,14.0,74,2,0.030408377999265213,2048
75,14.0,75,2,0.03050522899866337,2048
76,14.0,76,2,0.03066281100109336,2048
77,13.0,77,2,0.03076042199973017,2048
78,13.0,78,2,0.030925944000046002,2048
79,13.0,79,2,0.03103480500067235,2048
80,14.0,80,2,0.031211867000820348,2048
81,14.0,81,2,0.031353578000562266,2048
82,14.0,82,2,0.031441278999409406,2048
83,14.0,83,2,0.03152842000054079,2048
84,14.0,84,2,0.03161593099866877,2048
85,14.0,85,2,0.03170385200064629,2048
86,14.0,86,2,0.03184586299903458,2048
87,13.0,87,2,0.031933213998854626,2048
88,13.0,88,2,0.03207443599967519,2048
89,13.0,89,2,0.03216343700114521,2048
90,13.0,90,2,0.03230605800126796,2048
91,13.0,91,2,0.03239388899964979,2048
92,11.0,92,2,0.03248202000031597,2048
93,11.0,93,2,0.0326249719983025,2048
94,13.0,94,2,0.03271353300078772,2048
95,15.0,95,2,0.032854294000571826,2048
96,15.0,96,2,0.03299617599986959,2048
97,15.0,97,2,0.03308442599882255,2048
98,15.0,98,2,0.033173096999234986,2048
99,15.0,99,2,0.033266417998675024,2048
100,15.0,100,2,0.033422560001781676,2048
101,15.0,101,2,0.0335831619995588,2048
102,15.0,102,2,0.033682943001622334,2048
103,15.0,103,2,0.03378141400025925,2048
104,15.0,104,2,0.03388085500046145,2048
105,15.0,105,2,0.033979325999098364,2048
106,15.0,106,2,0.034077586999046616,2048
107,15.0,107,2,0.03424022900071577,2048
108,15.0,108,2,0.03440145000058692,2048
109,15.0,109,2,0.03456198200001381,2048
110,15.0,110,2,0.034722603999398416,2048
111,15.0,111,2,0.034822915000404464,2048
112,15.0,112,2,0.03499935700165224,2048
113,15.0,113,2,0.03517828799886047,2048
114,15.0,114,2,0.035358460001589265,2048
115,17.0,115,2,0.03544809099912527,2048
116,17.0,116,2,0.03558990300007281,2048
117,17.0,117,2,0.03567937399930088,2048
118,17.0,118,2,0.03576905500085559,2048
119,17.0,119,2,0.0358587759983493,2048
120,17.0,120,2,0.035948516000644304,2048
121,17.0,121,2,0.03610853799909819,2048
122,17.0,122,2,0.03620856899942737,2048
123,17.0,123,2,0.036308819999248954,2048
124,17.0,124,2,0.036409271000593435,2048
125,17.0,125,2,0.036569463001796976,2048
