,Fitness,Iteration,Temperature,Time,max_iters
0,17.0,0,2,0.0006492639986390714,2048
1,18.0,1,2,0.001451108000765089,2048
2,16.0,2,2,0.0026036339986603707,2048
3,16.0,3,2,0.00702635800189455,2048
4,16.0,4,2,0.007607540999742923,2048
5,17.0,5,2,0.011731213999155443,2048
6,18.0,6,2,0.012811089000024367,2048
7,18.0,7,2,0.013942624998890096,2048
8,18.0,8,2,0.015078552001796197,2048
9,16.0,9,2,0.019304944999021245,2048
10,16.0,10,2,0.020435071000974858,2048
11,15.0,11,2,0.021427126001071883,2048
12,14.0,12,2,0.022463051998784067,2048
13,13.0,13,2,0.023572548001538962,2048
14,14.0,14,2,0.024681573999259854,2048
15,14.0,15,2,0.02567989900126122,2048
16,15.0,16,2,0.026744965001853416,2048
17,13.0,17,2,0.031015058000775753,2048
18,15.0,18,2,0.03212094400078058,2048
19,15.0,19,2,0.033248539999476634,2048
20,12.0,20,2,0.033765872998628765,2048
21,14.0,21,2,0.03486084899850539,2048
22,15.0,22,2,0.03600673500113771,2048
23,16.0,23,2,0.0371493009988626,2048
24,16.0,24,2,0.03814440600035596,2048
25,16.0,25,2,0.039252572001714725,2048
26,16.0,26,2,0.039850075998401735,2048
27,17.0,27,2,0.040448339001159184,2048
28,15.0,28,2,0.04144353399897227,2048
29,15.0,29,2,0.042483550001634285,2048
30,15.0,30,2,0.04305732300053933,2048
31,14.0,31,2,0.04363623600147548,2048
32,13.0,32,2,0.044788901999709196,2048
33,13.0,33,2,0.04924842699983856,2048
34,11.0,34,2,0.050388072999339784,2048
35,11.0,35,2,0.0514921489993867,2048
36,10.0,36,2,0.05257867500040447,2048
37,10.0,37,2,0.05362455000067712,2048
38,10.0,38,2,0.05472797599941259,2048
39,11.0,39,2,0.0553238889988279,2048
40,11.0,40,2,0.056460185998730594,2048
41,11.0,41,2,0.05703397899924312,2048
42,11.0,42,2,0.05759792200115044,2048
43,10.0,43,2,0.058213485001033405,2048
44,10.0,44,2,0.059322930999769596,2048
45,10.0,45,2,0.05990005399871734,2048
46,10.0,46,2,0.06104745999982697,2048
47,9.0,47,2,0.062076835998595925,2048
48,10.0,48,2,0.06317957200008095,2048
49,10.0,49,2,0.06433866799852694,2048
50,9.0,50,2,0.06491399099832051,2048
51,9.0,51,2,0.06605737800055067,2048
52,9.0,52,2,0.06664643100157264,2048
53,10.0,53,2,0.06776087699836353,2048
54,10.0,54,2,0.06885856300141313,2048
55,10.0,55,2,0.06985407799948007,2048
56,10.0,56,2,0.07041161099914461,2048
57,10.0,57,2,0.07098846400185721,2048
58,10.0,58,2,0.07156696699894383,2048
59,9.0,59,2,0.0721993110018957,2048
60,9.0,60,2,0.07320890600021812,2048
61,8.0,61,2,0.07372792900059721,2048
62,9.0,62,2,0.07480746500004898,2048
63,8.0,63,2,0.07594472100026906,2048
64,10.0,64,2,0.07707831700099632,2048
65,10.0,65,2,0.08199691399931908,2048
66,11.0,66,2,0.08312129999831086,2048
67,14.0,67,2,0.08425382600034936,2048
68,12.0,68,2,0.08537221200094791,2048
69,11.0,69,2,0.08651089799968759,2048
70,9.0,70,2,0.08761397399939597,2048
71,9.0,71,2,0.0887049000011757,2048
72,9.0,72,2,0.08928176300105406,2048
73,9.0,73,2,0.08989078699960373,2048
74,9.0,74,2,0.09104012299940223,2048
75,9.0,75,2,0.09157015600067098,2048
76,10.0,76,2,0.09255774100165581,2048
77,11.0,77,2,0.09354000600069412,2048
78,11.0,78,2,0.09467950199905317,2048
79,11.0,79,2,0.09525358600149048,2048
80,10.0,80,2,0.09584451900082058,2048
81,10.0,81,2,0.09697734500150546,2048
82,10.0,82,2,0.09755200799918384,2048
83,10.0,83,2,0.09818530100164935,2048
84,10.0,84,2,0.0987575850012945,2048
85,10.0,85,2,0.09933232800176484,2048
86,10.0,86,2,0.09993174099872704,2048
87,10.0,87,2,0.10053634400173905,2048
88,10.0,88,2,0.1010579770008917,2048
89,10.0,89,2,0.10157914999945206,2048
90,9.0,90,2,0.10210751300110132,2048
91,9.0,91,2,0.10321401900000637,2048
92,10.0,92,2,0.10379868200107012,2048
93,10.0,93,2,0.10492790799980867,2048
94,10.0,94,2,0.10550969099858776,2048
95,10.0,95,2,0.10615519500061055,2048
96,10.0,96,2,0.10669982800027356,2048
97,10.0,97,2,0.10721285000181524,2048
98,9.0,98,2,0.10773216300003696,2048
99,10.0,99,2,0.10873443899981794,2048
100,10.0,100,2,0.10975131400118698,2048
101,11.0,101,2,0.11033998700077063,2048
102,11.0,102,2,0.11149475300044287,2048
103,11.0,103,2,0.11207124700013082,2048
104,11.0,104,2,0.11264952000055928,2048
105,11.0,105,2,0.11322924300111481,2048
106,11.0,106,2,0.1143445289999363,2048
107,11.0,107,2,0.11492587199973059,2048
108,11.0,108,2,0.11607731800177135,2048
109,11.0,109,2,0.11707993399977568,2048
110,11.0,110,2,0.11760391699863249,2048
111,11.0,111,2,0.11812874899987946,2048
112,11.0,112,2,0.1191235250007594,2048
113,11.0,113,2,0.11964495799838915,2048
114,11.0,114,2,0.1206355030008126,2048
115,13.0,115,2,0.121159816000727,2048
116,13.0,116,2,0.12216280099892174,2048
117,13.0,117,2,0.1227541439984634,2048
118,12.0,118,2,0.12334442800056422,2048
119,12.0,119,2,0.12448487399888108,2048
120,12.0,120,2,0.12500443699900643,2048
121,12.0,121,2,0.12552151899944874,2048
122,12.0,122,2,0.12604147200181615,2048
123,12.0,123,2,0.12660264499936602,2048
124,12.0,124,2,0.12770504099898972,2048
